barcode,sample,num_placed,num_seqs,num_kept,align_filter,length_filter,quality_filter
bcAd1036T,1VH_H,4,127801,75214,101908,99932,75214
bcAd1037T,1VH_P,2,91298,29062,41772,38552,29062
bcAd1039T,1VH_L,349,159287,77991,109574,105660,77991
bcAd1040T,1VH_N,454,117798,40370,62755,54346,40370
bcAd1043T,2L_H,29,89971,42280,64424,59930,42280
bcAd1044T,2L_P,52,33222,14146,22144,20246,14146
bcAd1045T,2L_L,532,170155,67602,98802,94426,67602
bcAd1046T,2L_N,287,143675,43242,62543,60169,43242
bcAd1047T,3VRL_H,81,87753,47470,68389,63481,47470
bcAd1048T,3VRL_P,222,71201,38084,56446,50957,38084
bcAd1049T,3VRL_L,266,75648,35091,55861,47116,35091
bcAd1050T,3VRL_N,330,138988,67347,99786,88861,67347
