parent,category,count,mean,median,std,min,max
1VH,N,157,-447.7842732708696,-448.0331661447891,3.9932703137796994,-455.0581941927126,-436.9284105073289
1VH,L,253,-450.53582232970933,-451.513919980973,3.793286250262351,-456.2079138825632,-434.9925324869714
1VH,P,2,-452.60974340295445,-452.60974340295445,3.0593779142528335,-454.773050272335,-450.44643653357394
1VH,H,3,-452.5875815007194,-452.6557190641502,0.18859858196059404,-452.73264222370614,-452.3743832143019
2L,N,128,-448.0132760009903,-448.68258187104277,3.7373601541673644,-457.8944135522824,-437.08912679292894
2L,L,314,-450.08011709766083,-450.8504459773517,3.597363293958904,-457.33341060585866,-437.5076447948026
2L,P,20,-452.46091317772033,-453.49431175824026,2.7699937134674477,-455.58998948770926,-443.81532291141656
2L,H,12,-453.7212990307387,-453.71045056420525,1.3342492539213973,-456.4851339787224,-451.68038384567143
3VRL,N,161,-444.1194096712301,-444.8738632751816,3.4599158668409937,-449.91805758229776,-425.69374564171545
3VRL,L,132,-444.6032476440237,-445.12170604809944,3.221231750674309,-450.0416371523532,-433.95376682495527
3VRL,P,113,-444.90049541748334,-445.990034099594,3.5367596261927847,-449.7156272546656,-429.71673656623494
3VRL,H,31,-446.06364588551685,-446.61582673381827,3.9240039662732427,-454.12987062748795,-433.1272660418152
